
Species name
Banana pith	Musa × paradisiaca, Musa acuminata, Musa balibisian, other bananas
Cardoon	Cynara cardunculus
Celeriac	Apium graveolens (rapaceum)
Celery	Apium graveolens
Chives	Allium schoenoprasum
Elephant garlic	Allium ampeloprasum (ampeloprasum)
Florence fennel	Foeniculum vulgare (dulce)
Garlic	Allium sativum
Garlic chives	Allium tuberosum
Heart of palm	Cocos nucifera, Euterpe spp., Sabal spp., Bactris gasipaes, Deckenia nobilis, other palms
Kohlrabi	Brassica oleracea (gongylodes)
Kurrat	Allium ampeloprasum (kurrat)
Landang	Corypha spp.
Lemongrass	Cymbopogon citratus
Leek	Allium porrum
Lotus root	Nelumbo nucifera
Nopal	Opuntia ficus-indica
Onion	Allium cepa
Pearl onion	Allium ampeloprasum (sectivum)
Potato onion	Allium cepa (aggregatum)
Prussian asparagus	Ornithogalum pyrenaicum
Sago	Metroxylon sagu, Cycas revoluta
Spring onion / Scallion	Allium wakegi
Sea beans / samphire greens	Salicornia spp.
Shallot	Allium cepa (aggregatum)
Tree onion[3]	Allium × proliferum
Welsh onion	Allium fistulosum
Wild leek	Allium tricoccum
Manchurian wild rice	Zizania latifolia
Ahipa	Pachyrhizus ahipa
Arracacha	Arracacia xanthorrhiza
Arrowleaf elephant ear	Xanthosoma sagittifolium
Bamboo shoot	Bambusa vulgaris
Phyllostachys edulis
Beetroot	Beta vulgaris vulgaris
Burdock	Arctium lappa
Broadleaf arrowhead	Sagittaria latifolia
Camas	Camassia
Canna	Canna
Carrot	Daucus carota
Cassumunar ginger	Zingiber cassumunar
Cassava	Manihot esculenta
Chinese artichoke	Stachys affinis
Chinese ginger	Boesenbergia rotunda
Daikon	Raphanus sativus (longipinnatus)
Earthnut pea	Lathyrus tuberosus
Elephant foot yam	Amorphophallus paeoniifolius
Ensete	Ensete ventricosum
Giant swamp taro	Cyrtosperma merkusii
Giant taro	Alocasia macrorrhizos
Ginger	Zingiber officinale
Hamburg parsley	Petroselinum crispum tuberosum
Horseradish	Armoracia rusticana
Jerusalem artichoke	Helianthus tuberosus
Jícama	Pachyrhizus erosus
Kencur	Kaempferia galanga
Lengkuas (Greater galangal)	Alpinia galanga
Lesser galangal	Alpinia officinarum
Mashua	Tropaeolum tuberosum
Palmyra sprout	Borassus flabellifer
Parsnip	Pastinaca sativa
Pignut	Conopodium majus
Polynesian arrowroot / East Indian arrowroot	Tacca leontopetaloides
Potato	Solanum tuberosum
Prairie turnip	Psoralea esculenta
Radish	Raphanus sativus
Rutabaga (swede)	Brassica napus (napobrassica)
Salsify	Tragopogon porrifolius
Scorzonera	Scorzonera hispanica
Skirret	Sium sisarum
Swede	Brassica napus (napobrassica)
Sweet potato (Kumara)	Ipomoea batatas
Taro	Colocasia esculenta
Ti	Cordyline fruticosa
Tigernut	Cyperus esculentus
Turmeric	Curcuma longa
Turnip	Brassica rapa (rapifera)
Ube (Purple yam)	Dioscorea alata
Ulluco	Ullucus tuberosus
Wasabi	Wasabia japonica
Water caltrop	Trapa natans
Trapa bicornis
Water chestnut	Eleocharis dulcis
Yacón	Smallanthus sonchifolius
Yam	Dioscorea [4]
Yautia  horqueta	Xanthosoma caracu
Aonori	Monostroma
Enteromorpha
Arame	Eisenia bicyclis
Carola	Callophyllis variegata
Dabberlocks (Badderlocks)	Alaria esculenta
Dulse (Dillisk)	Palmaria palmata
Eelgrass	Zostera
Gusô	Eucheuma spp.
Hijiki	Hizikia fusiformis
Kombu	Laminaria japonica
Laver / Gim	Porphyra
Mozuku	Cladosiphon okamuranus
Nori	Porphyra
Ogonori	Gracilaria
Sea grape	Caulerpa lentillifera, Caulerpa racemosa
Sea lettuce	 Ulva lactuca
Wakame	Undaria pinnatifida
